#,English/Russian,POS,Level,Serbian
87,almost / почти,Adverb,A2,скоро
88,alone / один,"Adjective, Adverb",A2,сам
89,along / вместе,prep. Adverb,A2,дуж
90,already / уже,Adverb,A2,већ
91,also / Слишком,Adverb,A1,такође
92,alter / Изменить,Verb,B2,Алтер
93,alternative / альтернатива,Noun Adjective,"A2, B1",алтернатива
94,although / и если,conj,A2,иако
95,always / Всегда,Adverb,A1,увек
96,amazed / поражен,Adjective,B1,задивљен
97,amazing / Невероятно,Adjective,A1,Невероватно
98,ambition / амбиция,Noun,B1,амбиција
99,ambitious / честолюбивый,Adjective,B1,амбициозан
100,among / среди,prep.,A2,међу
101,amount / Количество,Noun Verb,"A2, B2",износ
102,analyse / анализировать,Verb,B1,анализирати
103,analysis / анализ,Noun,B1,анализа
104,ancient / древний,Adjective,A2,древни
105,and / а также,conj,A1,и
106,anger / злость,Noun,B2,љутња
107,angle / угол,Noun,B2,угао
108,angry / злой,Adjective,A1,љут
109,animal / животное,Noun,A1,животиња
110,ankle / Статья,Noun,A2,чланак
111,anniversary / Годовщина,Noun,B2,годишњица
112,announce / объявить,Verb,B1,најавити
113,announcement / объявление,Noun,B1,објава
114,annoy / раздражает,Verb,B1,аннои
115,annoyed / раздраженный,Adjective,B1,изнервиран
116,annoying / скучный,Adjective,B1,досадан
117,annual / ежегодный,Adjective,B2,годишњи
118,another / секунда,det. proNoun,A1,други
119,answer / ответ,Noun Verb,A1,одговор
120,anxious / Волновался,Adjective,B2,забринут
121,any / Любые,"det. proNoun, Adverb","A1, A2",било који
122,anybody / кто угодно,pron,A2,ико
123,any more / более,Adverb,A2,више
124,anyone / кто угодно,pron,A1,било ко
125,anything / что-либо,pron,A1,било шта
126,anyway / В любом случае,Adverb,A2,У сваком случају
127,anywhere / в любом месте,AdVerb proNoun,A2,било где
128,apart / отдельно,Adverb,B1,одвојено
129,apartment / квартира,Noun,A1,стан
130,apologize / принести извинения,Verb,B1,извинити се
131,app / заявление,Noun,A2,апликација
132,apparent / очевидный,Adjective,B2,очигледан
133,apparently / очевидный,Adverb,B2,очигледно
134,appeal / жалоба,Noun Verb,B2,жалба
135,appear / появляться,Verb,A2,појавити
136,appearance / внешность,Noun,A2,изглед
137,apple / Яблоко,Noun,A1,јабука
138,application / заявление,Noun,B1,апликација
139,apply / подать заявление,Verb,A2,применити
140,"appointment / деловое свидание, встреча",Noun,B1,именовање
141,appreciate / ценить,Verb,B1,ценити
142,approach / доступ,Noun Verb,B2,приступ
143,appropriate / соответствующий,Adjective,B2,прикладан
144,approval / одобрение,Noun,B2,одобрење
145,approve / одобрить,Verb,B2,одобрити
146,approximately / Примерно,Adverb,B1,од прилике
147,April / апреля,Noun,A1,Април
148,architect / архитектор,Noun,A2,архитекта
149,architecture / архитектура,Noun,A2,архитектура
150,area / область,Noun,A1,област
151,argue / обсуждать,Verb,A2,расправљати
152,argument / обсуждение,Noun,A2,расправа
153,arise / подниматься,Verb,B2,устати
154,arm / рука,Noun,A1,арм
155,armed / вооруженный,Adjective,B2,наоружан
156,arms / оружие,Noun,B2,оружје
157,army / армия,Noun,A2,војска
158,around / глаз,prep. Adverb,A1,око
159,arrange / исправить,Verb,A2,уредити
160,arrangement / договоренность,Noun,A2,аранжман
161,arrest / арестовать,Verb Noun,B1,ухапсити
162,arrival / прибытие,Noun,B1,долазак
163,arrive / прибыть,Verb,A1,стићи
164,art / искусство,Noun,A1,уметност
165,article / Статья,Noun,A1,чланак
166,artificial / искусственный,Adjective,B2,вештачки
167,artist / художник,Noun,A1,уметник
168,artistic / художественный,Adjective,B2,уметнички
169,as / такие как,"prep., Adverb conj.","A1, A2",као што
170,ashamed / смущенный,Adjective,B2,посрамљен
171,asleep / уснуть,Adjective,A2,заспао
172,ask / спросить,Verb,A1,питати
173,aspect / аспект,Noun,B2,аспект
174,assess / Оценивать,Verb,B2,Проценити
175,assessment / оценка,Noun,B2,процена
176,assignment / назначение,Noun,B1,додељивање
177,assist / помощь,Verb,B1,помоћи
178,assistant / помощник,Noun Adjective,A2,асистент
179,associate / Ассоциированный,Verb,B2,стручни сарадник
180,associated / объединенный,Adjective,B2,удружен
181,association / ассоциация,Noun,B2,удружење
182,assume / предполагать,Verb,B2,претпоставити
183,at / в,prep.,A1,у
184,athlete / Атлет,Noun,A2,Атлета
185,atmosphere / атмосфера,Noun,B1,атмосфера
186,attach / застегнуть,Verb,B1,причврстити
187,attack / атака,Noun Verb,A2,напад
188,attempt / пытаться,Noun Verb,B2,покушај
189,attend / посещает,Verb,A2,похађа
190,attention / Внимание,Noun exclam.,A2,Пажња
191,attitude / отношение,Noun,B1,став
192,attract / привлекать,Verb,B1,привући
193,attraction / Привлечение,Noun,B1,атракција
194,attractive / привлекательный,Adjective,A2,атрактиван
195,audience / аудитория,Noun,A2,публика
196,August / Август,Noun,A1,август
197,aunt / тетя,Noun,A1,тетка
198,author / Автор,Noun,A2,аутор
199,authority / Администрация,Noun,B1,Управа
200,autumn / осень,Noun,A1,јесен
201,available / доступный,Adjective,A2,на располагању
202,average / средний,"Adjective, Noun Verb","A2, B1",просек
203,avoid / избегать,Verb,A2,избегавајте
204,award / награда,Noun Verb,"A2, B1",награда
205,aware / осведомленный,Adjective,B1,свестан
206,away / далеко,Adverb,A1,далеко
207,awful / ужасный,Adjective,A2,грозан
208,baby / малыш,Noun,A1,беба
209,back / назад,"Noun AdVerb Adjective, Verb","A1, A2, B2",назад
210,background / фон,Noun,A2,позадина
211,backwards / назад,Adverb,B1,уназад
212,bacteria / бактерии,Noun,B2,бактерије
213,bad / Плохо,Adjective,A1,лоше
214,badly / Плохо,Adverb,A2,лоше
215,bag / сумка,Noun,A1,кеса
216,bake / печь,Verb,B1,пећи
217,balance / остаток средств,Noun Verb,B1,равнотежа
218,ball / мяч,Noun,A1,лопта
219,ban / запрет,Verb Noun,B1,забрана
220,banana / банан,Noun,A1,банана
221,band / лента,Noun,A1,трака
222,bank (money) / банк (деньги),Noun,A1,Банка (новац)
223,bank (river) / берег (река),Noun,B1,банка (река)
224,bar / Бар,Noun Verb,"A2, B2",Бар
225,barrier / барьер,Noun,B2,баријера
226,base / база,Noun Verb,B1,база
227,baseball / бейсбол,Noun,A2,бејзбол
228,based / основанный на,Adjective,A2,заснован
229,basketball / баскетбол,Noun,A2,Кошарка
230,basic / базовый,Adjective,B1,основни
231,basically / в принципе,Adverb,B2,у основи
232,basis / основа,Noun,B1,основа
233,bath / ванная комната,Noun,A1,купатило
234,bathroom / ванная комната,Noun,A1,купатило
235,battery / батарея,Noun,B1,батерија
236,battle / боевой,Noun Verb,"B1, B2",битка
237,be / быть,Verb auxiliary Verb,A1,бити
238,beach / Пляж,Noun,A1,плажа
239,bean / бобы,Noun,A2,пасуљ
240,bear (deal with) / медведь (бэйв),Verb,B2,медвед (баве)
241,bear (animal) / медведь (животное),Noun,A2,беар (анимал)
242,beat / победить,Verb Noun,"A2, B2",победити
243,beautiful / Симпатичная,Adjective,A1,Лепа
244,beauty / красотка,Noun,B1,лепотица
245,because / потому что,conj.,A1,јер
246,become / стать,Verb,A1,постати
247,bed / кровать,Noun,A1,кревет
248,bedroom / Спальня,Noun,A1,спаваћа соба
249,bee / пчела,Noun,B1,пчела
250,beef / говядина,Noun,A2,говедина
251,beer / пиво,Noun,A1,пиво
252,before / До,"prep., conj. Adverb","A1, A2",пре него што
253,beg / молиться,Verb,B2,молити
254,begin / начинать,Verb,A1,почети
255,beginning / начало,Noun,A1,početak
256,behave / вести себя,Verb,A2,понашати се
257,behaviour / поведение,Noun,A2,понашање
258,behind / и для,prep. Adverb,A1,иза
259,being / будет,Noun,B2,биће
260,belief / вера,Noun,B1,веровање
261,believe / верить,Verb,A1,веровати
262,bell / звонок,Noun,B1,звоно
263,belong / принадлежать,Verb,A2,припадати
264,below / под,Adverb prep.,A1,испод
265,belt / пояс,Noun,A2,појас
266,bend / изгиб,Verb Noun,B1,кривина
267,benefit / выгода,Verb NouNoun,"A2, B1",корист
268,bent / согнутый,Adjective,B2,савијен
269,best / самый лучший,"Adjective, AdVerb Noun","A1, A2",најбоље
270,bet / пари,Verb Noun,B2,опклада
271,better / лучше,"Adjective , Adverb , Noun","A1, A2, B1",боље
272,between / между,"prep., Adverb","A1, A2",између
273,beyond / вне,prep. Adverb,B2,изван
274,bicycle / велосипед,Noun,A1,бицикл
275,big / большой,Adjective,A1,велики
276,bike / велосипед,Noun,A1,бицикл
277,bill / законопроект,Noun Verb,"A1, B2",рачун
278,billion number / миллиардное число,,A2,милијарде број
279,bin / мусорное ведро,Noun,A2,bin
280,biology / биология,Noun,A2,биологија
281,bird / птица,Noun,A1,птица
282,birth / рождение,Noun,A2,рођење
283,birthday / день рождения,Noun,A1,рођендан
284,biscuit / печенье,Noun,A2,бисквит
285,bit / немного,Noun,A2,мало
286,bite / Взять немного,Verb Noun,B1,угристи
287,bitter / горький,Adjective,B2,горак
288,black / черный,"Adjective, Noun",A1,црн
289,blame / чувство вины,Verb Noun,B2,кривица
290,blank / пустой,"Adjective, Noun",A2,празан
291,blind / слепой,Adjective,B2,слеп
292,block / блокировать,Noun Verb,B1,блокирати
293,blog / блог,Noun,A1,блог
294,blonde / блондинка,Adjective,A1,плавуша
295,blood / кровь,Noun,A2,крв
296,blow / удар,Verb,A2,ударац
297,blue / Синий,"Adjective, Noun",A1,Плави
298,"board / доска, доска",Noun Verb,"A2, B1","одбор, табла"
299,boat / судно,Noun,A1,брод
300,body / Тело,Noun,A1,тело
301,boil / язва,Verb,A2,чир
302,bomb / бомбить,Noun Verb,B1,бомба
303,bond / связь,Noun,B2,обвезница
304,bone / кость,Noun,A2,кост
305,book / книга,Noun Verb,"A1, A2",књига
306,boot / ботинок; сапог,Noun,A1,чизма
307,border / граница,Noun Verb,"B1, B2",граница
308,bored / скучный,Adjective,A1,досадно
309,boring / скучный,Adjective,A1,досадан
310,born / Родился,Verb,A1,борн
311,borrow / занимать,Verb,A2,позајми
312,boss / босс,Noun,A2,газда
313,both / вы оба,det./proNoun,A1,обоје
314,bother / вас беспокоит,Verb,B1,сметати
315,bottle / бутылка,Noun,A1,боца
316,bottom / дно,NouNoun Adjective,A2,дно
317,bowl / Чаша,Noun,A2,чинија
318,box / коробка,Noun,A1,кутија
319,boy / мальчик,Noun,A1,дечак
320,boyfriend / парень,Noun,A1,дечко
321,brain / мозг,Noun,A2,мозак
322,branch / ответвляться,Noun,B1,грана
323,brand / марка,Noun Verb,B1,Марка
324,brave / Храбрый,Adjective,B1,храбар
325,bread / хлеб,Noun,A1,хлеб
326,break / Пауза,Verb Noun,A1,пауза
327,breakfast / завтрак,Noun,A1,доручак
328,breast / грудь,Noun,B2,груди
329,breath / дыхание,Noun,B1,дах
330,breathe / дышать,Verb,B1,дисати
331,breathing / дыхание,Noun,B1,дисање
332,bride / невеста,Noun,B1,Невеста
333,bridge / мост,Noun,A2,мост
334,brief / короткая,Adjective,B2,кратак
335,bright / яркий,Adjective,A2,светао
336,brilliant / большой,Adjective,A2,сјајан
337,bring / принести,Verb,A1,довести
338,broad / широкий,Adjective,B2,широк
339,broadcast / вещание,Verb Noun,B2,емитовање
340,broken / сломанный,Adjective,A2,брокен
341,brother / брат,Noun,A1,брат
342,brown / коричневый,"Adjective, Noun",A1,браон
343,brush / щетка,Verb Noun,A2,четка
344,bubble / пузырь,Noun,B1,мехур
345,budget / бюджет,Noun,B2,буџет
346,build / Строить,Verb,A1,Буилд
347,building / Строительство,Noun,A1,зграда
348,bullet / пуля,Noun,B2,метак
349,bunch / группа,Noun,B2,група
350,burn / гореть,Verb Noun,"A2, B2",горети
351,bury / хоронить,Verb,B1,закопати
352,bus / автобус,Noun,A1,аутобус
353,bush / куст,Noun,B2,грм
354,business / бизнес,Noun,A1,посао
355,businessman / бизнесмен,Noun,A2,бизнисмен
356,busy / Занятый,Adjective,A1,Заузет
357,but / но,conj. prep,"A1, B2",али
358,butter / масло,Noun,A1,путер
359,button / кнопка,Noun,A2,дугме
360,buy / купить,Verb,A1,купити
361,by / по,prep. Adverb,"A1, B1",од стране
362,bye / Привет,exclam,A1,здраво
363,cable / кабель,Noun,B2,кабл
364,cafe / кофе,Noun,A1,кафе
365,cake / кекс,Noun,A1,торта
366,calculate / Ð¿N,Verb,B2,Ð¿Н
367,call / вызов,Verb Noun,A1,позив
368,calm / спокойствие,Adjective Verb Noun,B1,миран
369,camera / Камера,Noun,A1,Камера
370,camp / лагерь,Noun Verb,A2,камп
371,campaign / кампания,Noun Verb,B1,кампања
372,camping / поход,Noun,A2,камповање
373,campus / студенческий город,Noun,B1,студентски град
374,can1 / может1,modal Verb,A1,цан1
375,can2 / CAN2,Noun,A2,ЦАН2
376,"cancel / отменить, отменить",Verb,B2,"поништити, отказати"
377,cancer / рак,Noun,B2,рак
378,candidate / кандидат,Noun,B1,кандидат
379,cannot / не может,Verb,A1,не може
380,cap / крышка,Noun,B1,капа
381,capable / способный,Adjective,B2,способан
382,capacity / вместимость,Noun,B2,капацитет
383,capital / столица,Noun Adjective,A1,главни град
384,captain / капитан,Noun,B1,капетан
385,capture / ловить,Verb Noun,B2,хватање
386,car / автомобиль,Noun,A1,ауто
387,card / открытка,Noun,A1,картица
388,care / уход за больными,Noun Verb,A2,нега
389,career / карьера,Noun,A1,каријера
390,careful / внимательный,Adjective,A2,пажљив
391,carefully / осторожно,Adverb,A2,пажљиво
392,careless / беспечный,Adjective,B1,немаран
393,carpet / ковер,Noun,A2,тепих
394,carrot / морковь,Noun,A1,шаргарепа
395,carry / утомительный,Verb,A1,ношење
396,cartoon / мультфильм,Noun,A2,цртани филм
397,case / случай,Noun,A2,случај
398,cash / наличные,Noun,A2,готовина
399,cast / Часть,Noun Verb,B2,Цаст
400,castle / замок,Noun,A2,замак
401,cat / кошка,Noun,A1,мачка
402,catch / улов,Verb Noun,"A2, B2",улов
403,category / категория,Noun,B1,категорија
404,cause / причина,Noun Verb,A2,узрок
405,CD / CD,Noun,A1,ЦД
406,ceiling / потолок,Noun,B1,плафон
407,celebrate / праздновать,Verb,A2,прославити
408,celebration / праздник,Noun,B1,славље
409,celebrity / знаменитость,Noun,A2,позната личност
410,cell / клетка,Noun,B2,ћелија
411,cent / цент,Noun,A1,цент
412,central / центральный,Adjective,B1,централни
413,centre / центр,Noun Verb,"A1, B1",центар
414,century / век,Noun,A1,век
415,ceremony / церемония,Noun,B1,церемонија
416,certain / определенный,Adjective,A2,известан
417,certainly / Безопасно,Adverb,A2,сигурно
418,chain / цепь,Noun Verb,"B1, B2",ланац
419,chair / кресло,Noun Verb,"A1, B2",столица
420,chairman / Президент,Noun,B2,председник
421,challenge / вызов,Noun Verb,"B1, B2",изазов
422,champion / чемпион,Noun,B1,шампион
423,chance / шанс,Noun,A2,шанса
424,change / сдача,Verb Noun,A1,промена
425,channel / канал,Noun,B1,канал
426,chapter / глава,Noun,B1,поглавље
427,character / природа,Noun,A2,карактер
428,characteristic / характеристика,Noun Adjective,B2,карактеристика
429,charge / заполнить,Noun Verb,B1,напунити
430,charity / милосердие,Noun,A2,милосрђе
431,chart / график,Noun Verb,"A1, B2",графикон
432,chat / болтовня,Verb Noun,A2,Ћаскање
433,cheap / дешевый,"Adjective , Adverb","A1, B1",јефтин
434,cheat / обманывать,Verb Noun,B1,варати
435,check / проверить,Verb Noun,"A1, A2",проверавати
436,chef / Шеф-повар,Noun,A2,Главни кувар
437,cheerful / веселый,Adjective,B1,весео
438,cheese / сыр,Noun,A1,сир
439,chemical / химически,"Adjective, Noun",B1,хемијски
440,chemistry / химия,Noun,A2,хемија
441,chest / грудь,Noun,B1,груди
442,chicken / курица,Noun,A1,пилетина
443,chief / Босс,"Adjective, Noun",B2,Шеф
444,child / ребенок,Noun,A1,дете
445,childhood / детство,Noun,B1,детињство
446,chip / чип,Noun,A2,чип
447,chocolate / шоколад,Noun,A1,чоколада
448,choice / выбор,Noun,A2,избор
449,choose / выбрать,Verb,A1,изабрати
450,church / храм,Noun,A2,црква
451,cigarette / сигарета,Noun,A2,цигарета
452,cinema / кинотеатр,Noun,A1,биоскоп
453,circle / круглый,Noun Verb,A2,круг
454,circumstance / обстоятельство,Noun,B2,околност
455,cite / государство,Verb,B2,навести
456,citizen / гражданин,Noun,B2,грађанин
457,city / город,Noun,A1,град
458,civil / гражданский,Adjective,B2,грађански
459,claim / требовать,Verb Noun,B1,потраживање
460,class / класс,Noun,A1,класа
461,classic / классический,"Adjective, Noun",B2,класик
462,classical / классический,Adjective,A2,класичан
463,classroom / школьный класс,Noun,A1,учионица
464,clause / пункт,Noun,B1,клаузула
465,clean / чистый,"Adjective, Verb",A1,чист
466,clear / Чисто,"Adjective, Verb","A2, B1",јасно
467,clearly / Чисто,Adverb,A2,јасно
468,clever / умная,Adjective,A2,паметан
469,click / нажмите,Verb Noun,B1,клик
470,client / клиент,Noun,B1,клијент
471,climate / климат,Noun,A2,клима
472,climb / взбираться,Verb Noun,"A1, B1",попети се
473,clock / часы,Noun,A1,сат
474,close1 / закрыть1,Verb Noun,"A1, B2",цлосе1
475,close2 / закрыть2,"Adjective , Adverb","A2, B1",цлосе2
476,closed / закрыто,Adjective,A2,затворен
477,closely / узко,Adverb,B2,уско
478,cloth / ткань,Noun,B1,тканина
479,clothes / одежда,Noun,A1,Одећа
480,clothing / одежда,Noun,A2,одећа
481,cloud / облако,Noun,A2,облак
482,club / клуб,Noun,A1,клуб
483,clue / Подсказка,Noun,B1,индиција
484,coach / тренер,Noun Verb,"A2, B1",тренер
485,coal / каменный уголь,Noun,B1,угаљ
486,coast / Побережье,Noun,A2,обала
487,coat / Пальто,Noun,A1,капут
488,code / код,Noun,A2,код
489,coffee / кофе,Noun,A1,кафа
490,coin / монета,Noun,B1,новчић
491,cold / холодно,Adjective Noun,A1,хладан
492,collapse / крах,Verb Noun,B2,колапс
493,colleague / коллега,Noun,A2,колега
494,collect / Собирать,Verb,A2,Цоллецт
495,collection / коллекция,Noun,B1,колекција
496,college / колледж,Noun,A1,колеџ
497,colour / цвет,Noun,A1,боја
498,coloured / цветной,Adjective,B1,обојен
499,column / столбец,Noun,A2,колона
500,combination / комбинация,Noun,B2,комбинација
501,combine / комбинировать,Verb,B1,комбиновати
502,come / прийти,Verb,A1,доћи
503,comedy / комедия,Noun,A2,комедија
504,comfort / комфорт,Noun Verb,B2,удобност
505,comfortable / комфортный,Adjective,A2,удобан
506,command / команда,Noun Verb,B2,команда
507,comment / комментарий,Noun Verb,"A2, B1",коментар
508,commercial / коммерческий,Adjective Noun,B1,трговачки
509,commission / комиссия,Noun Verb,B2,комисија
510,commit / сделать,Verb,B1,урадити
511,commitment / обязательство,Noun,B2,приврженост
512,committee / доска,Noun,B2,одбор
513,common / общий,Adjective Noun,A1,заједнички
514,commonly / Обычно,Adverb,B2,обично
515,communicate / общаться,Verb,A2,комуницирати
516,communication / коммуникация,Noun,B1,комуникација
517,community / сообщество,Noun,A2,заједница
518,company / Компания,Noun,A1,компанија
519,compare / сравнивать,Verb,A1,упоредити
520,comparison / сравнение,Noun,B1,поређење
521,compete / конкурировать,Verb,A2,такмичити се
522,competition / конкуренция,Noun,A2,конкуренција
523,competitor / конкурент,Noun,B1,конкурент
524,competitive / конкурентоспособный,Adjective,B1,конкурентан
525,complain / сожалеть,Verb,A2,жале
526,complaint / жалоба,Noun,B1,жалба
527,complete / полный,Adjective Verb,A1,комплетан
528,completely / полностью,Adverb,A2,у потпуности
529,complex / сложный,"Adjective, Noun","B1, B2",комплекс
530,complicated / сложный,Adjective,B2,компликован
531,component / составная часть,Noun,B2,саставни део
532,computer / компьютер,Noun,A1,рачунар
533,concentrate / сконцентрироваться,Verb,B1,концентрат
534,concentration / концентрация,Noun,B2,концентрација
535,concept / концепция,Noun,B2,концепт
536,concern / Беспокойство,Noun Verb,B2,брига
537,concerned / обсуждаемый,Adjective,B2,у питању
538,concert / концерт,Noun,A1,концерт
539,conclude / заключить,Verb,B1,закључити
540,conclusion / вывод,Noun,B1,закључак
541,condition / государство,Noun,A2,стање
542,conduct / выполнять,Verb Noun,B2,спровести
543,conference / конференция,Noun,A2,конференција
544,confidence / самоуверенность,Noun,B2,самопоуздање
545,confident / уверенная в себе,Adjective,B1,самоуверен
546,confirm / Подтверждать,Verb,B1,Потврди
547,conflict / конфликт,Noun Verb,B2,конфликт
548,confuse / путать,Verb,B1,Цонфусе
549,confused / смущенный,Adjective,B1,цонфусед
550,confusing / сбивает с толку,Adjective,B2,збуњујући
551,connect / Соединять,Verb,A2,Цоннецт
552,connected / связано,Adjective,A2,повезан
553,connection / отношение,Noun,B1,веза
554,conscious / осведомленный,Adjective,B2,свестан
555,consequence / последствие,Noun,B1,последица
556,conservative / консерватор,"Adjective, Noun",B2,конзервативан
557,consider / рассмотреть возможность,Verb,A2,размотрити
558,consideration / рассмотрение,Noun,B2,разматрање
559,consist / состоять,Verb,B1,састојати се
560,consistent / последовательный,Adjective,B2,доследан
561,constant / постоянный,Adjective,B2,константа
562,constantly / все время,Adverb,B2,стално
563,construct / построить,Verb,B2,цонструцт
564,construction / строительство,Noun,B2,конструкција
565,consume / тратить,Verb,B1,потрошити
566,consumer / потребитель,Noun,B1,потрошач
567,contact / контакт,Noun Verb,B1,контакт
568,contain / содержать,Verb,A2,садржати
569,container / мусорный бак,Noun,B1,контејнер
570,contemporary / современный,Adjective,B2,савремен
571,content / содержание,Noun,B1,садржина
572,contest / конкуренция,Noun Verb,B2,такмичење
573,context / контекст,Noun,A2,контекст
574,continent / континент,Noun,A2,континент
575,continue / Продолжать,Verb,A2,Настави
576,continuous / непрерывный,Adjective,B1,непрекидан
577,contract / договор,Noun Verb,B2,уговор
578,contrast / контраст,Noun Verb,B1,контраст
579,contribute / делать вклад,Verb,B2,допринети
580,contribution / вклад,Noun,B2,допринос
581,control / контроль,Noun Verb,A2,контрола
582,convenient / удобный,Adjective,B1,погодан
583,conversation / беседа,Noun,A1,разговор
584,convert / конвертировать,Verb,B2,претворити
585,convince / убеждать,Verb,B1,убедити
586,convinced / убежденный,Adjective,B2,убедила
587,cook / Готовить,Verb Noun,"A1, A2",кувар
588,cooker / плита,Noun,A2,шпорет
589,cooking / приготовление еды,Noun,A1,кување
590,cool / холодно,"Adjective, Verb","A1, B1",хладан
591,copy / копия,Noun Verb,A2,копија
592,core / ядро,Noun Adjective,B2,језгро
593,corner / угол,Noun,A2,угао
594,corporate / корпоративный,Adjective,B2,корпоративни
595,correct / правильный,Adjective Verb,A1,исправан
596,correctly / правильно,Adverb,A2,исправно
597,cost / Стоимость,Noun Verb,A1,трошак
598,costume / костюм,Noun,B1,костим
599,cottage / Кабина,Noun,B1,Колиба
600,cotton / хлопок,Noun,B1,памук
601,could / Мог,Verb,A1,могао
602,council / совет,Noun,B2,савет
603,count / считать,Verb Noun,"A2, B1",рачунати
604,country / страна,Noun,A1,земља
605,countryside / сельская местность,Noun,B1,село
606,county / округ,Noun,B2,округ
607,couple / Пара,Noun,A2,пар
608,courage / храбрость,Noun,B2,храброст
609,course / курс,Noun,A1,курс
610,court / суд,Noun,B1,суд
611,cousin / двоюродная сестра,Noun,A1,рођак
612,cover / покрытие,Verb Noun,"A2, B1",поклопац
613,"covered / покрытый, погребенный",Adjective,B1,"покривен, затрпан"
614,cow / корова,Noun,A1,крава
615,crash / крушение,Noun Verb,B2,судар
616,crazy / псих,Adjective,A2,луд
617,cream / пломбир,Noun Adjective,"A1, B1",крем
618,create / Создавать,Verb,A1,Креирај
619,creation / творчество,Noun,B2,стварање
620,creative / творческий,Adjective,A2,креативан
621,creature / существо,Noun,B2,створење
622,credit / кредит,Noun Verb,"A2, B2",кредит
623,crew / экипаж,Noun,B2,посада
624,crime / преступление,Noun,A2,злочин
625,criminal / уголовное,Noun Adjective,"A2, B1",криминалац
626,crisis / кризис,Noun,B2,криза
